"S.n","Name.of.species","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","occupied.quadrat","density","frequency","abundance","relative.density.","relative.abundance.","IVI","TOTAL","relative.frequency"
1,"Gnaphalium affine",20,10,6,2,5,0,0,0,0,0,5,4.3,50,8.6,2.07137076573278,2.26566682262885,8.92377275027338,43,4.58673516191175
2,"Chenopodium giganteum",12,9,15,0,0,0,0,0,0,0,3,3.6,30,12,1.73417087363675,3.16139556645886,7.64760753724266,36,2.75204109714705
3,"Emilia fosbergii",6,4,4,7,2,0,0,0,0,0,5,2.3,50,4.6,1.10794250260126,1.2118683004759,6.9065459649889,23,4.58673516191175
4,"Bidens pilosa",19,25,34,15,23,14,0,0,9,4,8,14.3,80,17.875,6.88851208139042,4.70916214587101,18.9364504863202,143,7.3387762590588
5,"Galinsoga quadriradiata",200,156,12,5,0,2,0,0,0,0,5,37.5,50,75,18.0642799337161,19.7587222903679,42.4097373859957,375,4.58673516191175
6,"Oxalis latifolia",55,17,8,26,18,13,15,0,0,0,7,15.2,70,21.7142857142857,7.32205479979961,5.72062054883031,19.4641045753064,152,6.42142922667645
7,"Ageratum houstonianum",105,156,23,12,9,2,3,0,0,0,7,31,70,44.2857142857143,14.9331380785387,11.6670550666934,33.0216223719085,310,6.42142922667645
8,"Ageratina Adenophera",2,5,15,67,23,42,0,0,0,0,6,15.4,60,25.6666666666667,7.41839762611276,6.76187385048145,19.6843536708883,154,5.5040821942941
9,"Lantana camara",0,0,0,0,0,0,44,50,5,7,4,10.6,40,26.5,5.10616979459709,6.98141520926331,15.7569731333898,106,3.6693881295294
10,"Alternanthera philoxeroides",14,11,23,9,25,105,23,14,0,0,8,22.4,80,28,10.7903965470731,7.37658965507067,25.5057624612026,224,7.3387762590588
11,"Mikania micarantha",0,0,2,0,0,0,0,0,34,20,3,5.6,30,18.6666666666667,2.69759913676828,4.91772643671379,10.3673666706291,56,2.75204109714705
12,"Oplismenus hirtellus",5,7,0,67,55,5,0,0,0,0,5,13.9,50,27.8,6.69582642876411,7.32389972896302,18.6064613196389,139,4.58673516191175
13,"Carex pendula",0,2,1,0,0,0,0,0,0,0,2,0.3,20,1.5,0.144514239469729,0.395174445807357,2.37438275004179,3,1.8346940647647
14,"Mesosphaerum suaveolens",2,4,0,0,5,0,0,0,0,0,3,1.1,30,3.66666666666667,0.52988554472234,0.965981978640207,4.2479086205096,11,2.75204109714705
15,"Chromolaena odorata",2,11,15,0,0,0,14,10,0,0,5,5.2,50,10.4,2.50491348414197,2.73987615759768,9.8315248036514,52,4.58673516191175
16,"Mimosa pudica",0,0,0,2,5,6,2,0,5,7,6,2.7,60,4.5,1.30062815522756,1.18552333742207,7.99023368694374,27,5.5040821942941
17,"Amaranthus spinosus",2,12,35,2,0,0,0,0,0,0,4,5.1,40,12.75,2.45674207098539,3.35898278936254,9.48511298987733,51,3.6693881295294
18,"Spermacoce alata",5,11,9,0,0,0,0,0,0,0,3,2.5,30,8.33333333333333,1.20428532891441,2.19541358781865,6.15174001388011,25,2.75204109714705
19,"Ageratum conyzoides",3,5,6,0,0,0,2,6,0,0,5,2.2,50,4.4,1.05977108944468,1.15917837436825,6.80568462572468,22,4.58673516191175
20,"Erigeron canadensis",2,5,1,10,4,0,0,0,0,0,5,2.2,50,4.4,1.05977108944468,1.15917837436825,6.80568462572468,22,4.58673516191175
21,"Persicaria virginiana",5,10,25,12,5,0,0,7,14,0,7,7.8,70,11.1428571428571,3.75737022621296,2.93558159742607,13.1143810503155,78,6.42142922667645
22,"fern.sps",0,0,5,9,10,0,0,0,0,0,3,2.4,30,8,1.15611391575783,2.1075970443059,6.01575205721079,24,2.75204109714705
